Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
1,19,Softmax,3.2000000000000015,0.5143929912390488
1,19,Softmax,3.3000000000000016,0.5769712140175219
1,19,Softmax,3.4000000000000017,0.5544430538172715
1,19,Softmax,3.5000000000000018,0.523153942428035
1,19,Softmax,3.600000000000002,0.5056320400500626
1,19,Softmax,3.700000000000002,0.5732165206508135
1,19,Tanh,2.2000000000000006,0.4831038798498123
1,19,Tanh,2.3000000000000007,0.4593241551939925
1,19,Tanh,2.400000000000001,0.4292866082603254
1,19,Tanh,2.500000000000001,0.4655819774718398
1,19,Tanh,2.600000000000001,0.4267834793491865
1,19,Tanh,2.700000000000001,0.39424280350438046
1,19,Tanh,2.800000000000001,0.46307884856070086
1,19,Tanh,2.9000000000000012,0.46307884856070086
1,20,ReLU,0.6,0.5644555694618273
1,20,ReLU,0.7,0.541927409261577
1,20,ReLU,0.7999999999999999,0.5531914893617021
1,20,ReLU,0.8999999999999999,0.5444305381727159
1,20,ReLU,0.9999999999999999,0.5669586983729662
1,20,ReLU,1.0999999999999999,0.5569461827284106
1,20,ReLU,1.2,0.5206508135168961
1,20,ReLU,1.3,0.4793491864831039
1,20,Sigmoid,1.4000000000000001,0.5206508135168961
1,20,Sigmoid,1.5000000000000002,0.5732165206508135
1,20,Sigmoid,1.6000000000000003,0.5732165206508135
1,20,Sigmoid,1.7000000000000004,0.6007509386733417
1,20,Sigmoid,1.8000000000000005,0.541927409261577
1,20,Sigmoid,1.9000000000000006,0.5732165206508135
1,20,Sigmoid,2.0000000000000004,0.5832290362953693
1,20,Sigmoid,2.1000000000000005,0.5569461827284106
1,20,Softmax,3.0000000000000013,0.5444305381727159
1,20,Softmax,3.1000000000000014,0.5632040050062578
1,20,Softmax,3.2000000000000015,0.48936170212765956
1,20,Softmax,3.3000000000000016,0.4881101376720901
1,20,Softmax,3.4000000000000017,0.5594493116395495
1,20,Softmax,3.5000000000000018,0.5769712140175219
1,20,Softmax,3.600000000000002,0.5456821026282853
1,20,Softmax,3.700000000000002,0.5269086357947435
1,20,Tanh,2.2000000000000006,0.4593241551939925
1,20,Tanh,2.3000000000000007,0.43178973717146435
1,20,Tanh,2.400000000000001,0.40801001251564456
1,20,Tanh,2.500000000000001,0.47434292866082606
1,20,Tanh,2.600000000000001,0.4330413016270338
1,20,Tanh,2.700000000000001,0.39424280350438046
1,20,Tanh,2.800000000000001,0.36545682102628285
1,20,Tanh,2.9000000000000012,0.4881101376720901
1,21,ReLU,0.6,0.5844806007509387
1,21,ReLU,0.7,0.5682102628285357
1,21,ReLU,0.7999999999999999,0.5369211514392991
1,21,ReLU,0.8999999999999999,0.523153942428035
1,21,ReLU,0.9999999999999999,0.5156445556946183
1,21,ReLU,1.0999999999999999,0.5344180225281602
1,21,ReLU,1.2,0.4856070087609512
1,21,ReLU,1.3,0.5056320400500626
1,21,Sigmoid,1.4000000000000001,0.5506883604505632
1,21,Sigmoid,1.5000000000000002,0.5481852315394243
1,21,Sigmoid,1.6000000000000003,0.5331664580725908
1,21,Sigmoid,1.7000000000000004,0.5369211514392991
1,21,Sigmoid,1.8000000000000005,0.5569461827284106
1,21,Sigmoid,1.9000000000000006,0.5894868585732165
1,21,Sigmoid,2.0000000000000004,0.5682102628285357
1,21,Sigmoid,2.1000000000000005,0.6145181476846058
1,21,Softmax,3.0000000000000013,0.5644555694618273
1,21,Softmax,3.1000000000000014,0.5619524405506884
1,21,Softmax,3.2000000000000015,0.5193992490613266
1,21,Softmax,3.3000000000000016,0.509386733416771
1,21,Softmax,3.4000000000000017,0.5344180225281602
1,21,Softmax,3.5000000000000018,0.5969962453066333
1,21,Softmax,3.600000000000002,0.490613266583229
1,21,Softmax,3.700000000000002,0.5444305381727159
1,21,Tanh,2.2000000000000006,0.4806007509386733
1,21,Tanh,2.3000000000000007,0.4818523153942428
1,21,Tanh,2.400000000000001,0.46808510638297873
1,21,Tanh,2.500000000000001,0.4430538172715895
1,21,Tanh,2.600000000000001,0.47058823529411764
1,21,Tanh,2.700000000000001,0.47684605757196497
1,21,Tanh,2.800000000000001,0.4568210262828536
1,21,Tanh,2.9000000000000012,0.39173967459324155
2,17,ReLU,0.6,0.5982478097622027
2,17,ReLU,0.7,0.6107634543178974
2,17,ReLU,0.7999999999999999,0.609511889862328
2,17,ReLU,0.8999999999999999,0.5456821026282853
2,17,ReLU,0.9999999999999999,0.5794743429286608
2,17,ReLU,1.0999999999999999,0.5381727158948686
2,17,ReLU,1.2,0.5306633291614519
2,17,ReLU,1.3,0.5118898623279099
2,17,Sigmoid,1.4000000000000001,0.6182728410513142
2,17,Sigmoid,1.5000000000000002,0.639549436795995
2,17,Sigmoid,1.6000000000000003,0.6745932415519399
2,17,Sigmoid,1.7000000000000004,0.6458072590738423
2,17,Sigmoid,1.8000000000000005,0.6420525657071339
2,17,Sigmoid,1.9000000000000006,0.6282853566958698
2,17,Sigmoid,2.0000000000000004,0.6007509386733417
2,17,Sigmoid,2.1000000000000005,0.6470588235294118
2,17,Softmax,3.0000000000000013,0.47058823529411764
2,17,Softmax,3.1000000000000014,0.4755944931163955
2,17,Softmax,3.2000000000000015,0.47684605757196497
2,17,Softmax,3.3000000000000016,0.4718397997496871
2,17,Softmax,3.4000000000000017,0.4117647058823529
2,17,Softmax,3.5000000000000018,0.46808510638297873
2,17,Softmax,3.600000000000002,0.4718397997496871
2,17,Softmax,3.700000000000002,0.4655819774718398
2,17,Tanh,2.2000000000000006,0.49687108886107634
2,17,Tanh,2.3000000000000007,0.4643304130162703
2,17,Tanh,2.400000000000001,0.4430538172715895
2,17,Tanh,2.500000000000001,0.4668335419274093
2,17,Tanh,2.600000000000001,0.43178973717146435
2,17,Tanh,2.700000000000001,0.42052565707133915
2,17,Tanh,2.800000000000001,0.43429286608260326
2,17,Tanh,2.9000000000000012,0.43679599499374216
2,18,ReLU,0.6,0.60450563204005
2,18,ReLU,0.7,0.6257822277847309
2,18,ReLU,0.7999999999999999,0.639549436795995
2,18,ReLU,0.8999999999999999,0.5882352941176471
2,18,ReLU,0.9999999999999999,0.5807259073842302
2,18,ReLU,1.0999999999999999,0.6007509386733417
2,18,ReLU,1.2,0.493116395494368
2,18,ReLU,1.3,0.5807259073842302
2,18,Sigmoid,1.4000000000000001,0.6608260325406758
2,18,Sigmoid,1.5000000000000002,0.6382978723404256
2,18,Sigmoid,1.6000000000000003,0.6420525657071339
2,18,Sigmoid,1.7000000000000004,0.6808510638297872
2,18,Sigmoid,1.8000000000000005,0.5556946182728411
2,18,Sigmoid,1.9000000000000006,0.6107634543178974
2,18,Sigmoid,2.0000000000000004,0.685857321652065
2,18,Sigmoid,2.1000000000000005,0.6946182728410513
2,18,Softmax,3.0000000000000013,0.4455569461827284
2,18,Softmax,3.1000000000000014,0.5031289111389237
2,18,Softmax,3.2000000000000015,0.48685857321652065
2,18,Softmax,3.3000000000000016,0.4881101376720901
2,18,Softmax,3.4000000000000017,0.40175219023779724
2,18,Softmax,3.5000000000000018,0.392991239048811
2,18,Softmax,3.600000000000002,0.46057571964956195
2,18,Softmax,3.700000000000002,0.48435544430538174
2,18,Tanh,2.2000000000000006,0.4755944931163955
2,18,Tanh,2.3000000000000007,0.425531914893617
2,18,Tanh,2.400000000000001,0.4831038798498123
2,18,Tanh,2.500000000000001,0.4330413016270338
2,18,Tanh,2.600000000000001,0.4455569461827284
2,18,Tanh,2.700000000000001,0.4230287859824781
2,18,Tanh,2.800000000000001,0.4718397997496871
2,18,Tanh,2.9000000000000012,0.4030037546933667
2,19,ReLU,0.6,0.5782227784730913
2,19,ReLU,0.7,0.6821026282853567
2,19,ReLU,0.7999999999999999,0.6145181476846058
2,19,ReLU,0.8999999999999999,0.5619524405506884
2,19,ReLU,0.9999999999999999,0.6295369211514393
2,19,ReLU,1.0999999999999999,0.5932415519399249
2,19,ReLU,1.2,0.5794743429286608
2,19,ReLU,1.3,0.55819774718398
2,19,Sigmoid,1.4000000000000001,0.6245306633291614
2,19,Sigmoid,1.5000000000000002,0.6458072590738423
2,19,Sigmoid,1.6000000000000003,0.6620775969962454
2,19,Sigmoid,1.7000000000000004,0.6608260325406758
2,19,Sigmoid,1.8000000000000005,0.6070087609511889
2,19,Sigmoid,1.9000000000000006,0.6745932415519399
2,19,Sigmoid,2.0000000000000004,0.655819774718398
2,19,Sigmoid,2.1000000000000005,0.6145181476846058
2,19,Softmax,3.0000000000000013,0.4856070087609512
2,19,Softmax,3.1000000000000014,0.4693366708385482
2,19,Softmax,3.2000000000000015,0.4918648310387985
2,19,Softmax,3.3000000000000016,0.5018773466833542
2,19,Softmax,3.4000000000000017,0.47434292866082606
2,19,Softmax,3.5000000000000018,0.47058823529411764
2,19,Softmax,3.600000000000002,0.5406758448060075
2,19,Softmax,3.700000000000002,0.4755944931163955
2,19,Tanh,2.2000000000000006,0.47434292866082606
2,19,Tanh,2.3000000000000007,0.47684605757196497
2,19,Tanh,2.400000000000001,0.4806007509386733
2,19,Tanh,2.500000000000001,0.4267834793491865
2,19,Tanh,2.600000000000001,0.4493116395494368
2,19,Tanh,2.700000000000001,0.46808510638297873
2,19,Tanh,2.800000000000001,0.44680851063829785
2,19,Tanh,2.9000000000000012,0.47684605757196497
2,20,ReLU,0.6,0.639549436795995
2,20,ReLU,0.7,0.6583229036295369
2,20,ReLU,0.7999999999999999,0.5957446808510638
