Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
1,22,ReLU,1.05,0.5056320400500626
1,22,ReLU,1.1,0.5319148936170213
1,22,ReLU,1.1500000000000001,0.5481852315394243
1,22,ReLU,1.2000000000000002,0.5168961201501877
1,22,Sigmoid,1.2500000000000002,0.5669586983729662
1,22,Sigmoid,1.3000000000000003,0.5882352941176471
1,22,Sigmoid,1.3500000000000003,0.5669586983729662
1,22,Sigmoid,1.4000000000000004,0.5256570713391739
1,22,Softmax,1.6500000000000006,0.5406758448060075
1,22,Softmax,1.7000000000000006,0.5106382978723404
1,22,Softmax,1.7500000000000007,0.5256570713391739
1,22,Softmax,1.8000000000000007,0.5206508135168961
1,22,Tanh,1.4500000000000004,0.4856070087609512
1,22,Tanh,1.5000000000000004,0.4618272841051314
1,22,Tanh,1.5500000000000005,0.4981226533166458
1,22,Tanh,1.6000000000000005,0.5256570713391739
1,23,ReLU,1.05,0.4831038798498123
1,23,ReLU,1.1,0.5244055068836045
1,23,ReLU,1.1500000000000001,0.48936170212765956
1,23,ReLU,1.2000000000000002,0.5356695869837297
1,23,Sigmoid,1.2500000000000002,0.5193992490613266
1,23,Sigmoid,1.3000000000000003,0.5732165206508135
1,23,Sigmoid,1.3500000000000003,0.5894868585732165
1,23,Sigmoid,1.4000000000000004,0.6120150187734669
1,23,Softmax,1.6500000000000006,0.5857321652065082
1,23,Softmax,1.7000000000000006,0.5707133917396746
1,23,Softmax,1.7500000000000007,0.5219023779724656
1,23,Softmax,1.8000000000000007,0.5143929912390488
1,23,Tanh,1.4500000000000004,0.49687108886107634
1,23,Tanh,1.5000000000000004,0.4530663329161452
1,23,Tanh,1.5500000000000005,0.5281602002503129
1,23,Tanh,1.6000000000000005,0.490613266583229
1,24,ReLU,1.05,0.5281602002503129
1,24,ReLU,1.1,0.5168961201501877
1,24,ReLU,1.1500000000000001,0.5356695869837297
1,24,ReLU,1.2000000000000002,0.5556946182728411
1,24,Sigmoid,1.2500000000000002,0.5894868585732165
1,24,Sigmoid,1.3000000000000003,0.6220275344180225
1,24,Sigmoid,1.3500000000000003,0.574468085106383
1,24,Sigmoid,1.4000000000000004,0.5369211514392991
1,24,Softmax,1.6500000000000006,0.5344180225281602
1,24,Softmax,1.7000000000000006,0.5481852315394243
1,24,Softmax,1.7500000000000007,0.5456821026282853
1,24,Softmax,1.8000000000000007,0.5657071339173968
1,24,Tanh,1.4500000000000004,0.5281602002503129
1,24,Tanh,1.5000000000000004,0.4818523153942428
1,24,Tanh,1.5500000000000005,0.5043804755944932
1,24,Tanh,1.6000000000000005,0.493116395494368
1,25,ReLU,1.05,0.5469336670838548
1,25,ReLU,1.1,0.5707133917396746
1,25,ReLU,1.1500000000000001,0.5294117647058824
1,25,ReLU,1.2000000000000002,0.5081351689612015
1,25,Sigmoid,1.2500000000000002,0.5644555694618273
1,25,Sigmoid,1.3000000000000003,0.5919899874843555
1,25,Sigmoid,1.3500000000000003,0.5819774718397998
1,25,Sigmoid,1.4000000000000004,0.6182728410513142
1,25,Softmax,1.6500000000000006,0.490613266583229
1,25,Softmax,1.7000000000000006,0.5031289111389237
1,25,Softmax,1.7500000000000007,0.5394242803504381
1,25,Softmax,1.8000000000000007,0.5506883604505632
1,25,Tanh,1.4500000000000004,0.4806007509386733
1,25,Tanh,1.5000000000000004,0.4793491864831039
1,25,Tanh,1.5500000000000005,0.4518147684605757
1,25,Tanh,1.6000000000000005,0.45431789737171463
1,26,ReLU,1.05,0.5469336670838548
1,26,ReLU,1.1,0.5006257822277848
1,26,ReLU,1.1500000000000001,0.5444305381727159
1,26,ReLU,1.2000000000000002,0.5531914893617021
1,26,Sigmoid,1.2500000000000002,0.5919899874843555
1,26,Sigmoid,1.3000000000000003,0.5844806007509387
1,26,Sigmoid,1.3500000000000003,0.590738423028786
1,26,Sigmoid,1.4000000000000004,0.5932415519399249
1,26,Softmax,1.6500000000000006,0.523153942428035
1,26,Softmax,1.7000000000000006,0.5181476846057572
1,26,Softmax,1.7500000000000007,0.5469336670838548
1,26,Softmax,1.8000000000000007,0.5531914893617021
1,26,Tanh,1.4500000000000004,0.4780976220275344
1,26,Tanh,1.5000000000000004,0.4793491864831039
1,26,Tanh,1.5500000000000005,0.5156445556946183
1,26,Tanh,1.6000000000000005,0.4693366708385482
1,27,ReLU,1.05,0.4956195244055069
1,27,ReLU,1.1,0.5506883604505632
1,27,ReLU,1.1500000000000001,0.5506883604505632
1,27,ReLU,1.2000000000000002,0.541927409261577
1,27,Sigmoid,1.2500000000000002,0.5556946182728411
